자치구,대여소명,기준년월,대여건수,반납건수
강서구,1174. 강서구청사거리(부민병원),202501,973,970
강서구,1175. 대한항공 인력개발센터,202501,749,507
강서구,1177. 수명중?고교,202501,938,949
강서구,1178. 개화산역 2번 출구,202501,379,388
강서구,1180. 마곡엠밸리 15단지(1502동) 건너편,202501,1848,1879
강서구,1181. 농수산식품공사 (강서지사),202501,191,236
강서구,1182. KBS 스포츠월드,202501,2085,2103
중구,336. 충무로역 6번출구 앞,202501,685,669
강서구,1183. 강서대학교,202501,295,151
구로구,1986. 태평양물산,202501,1612,1795
구로구,1987. 개봉아이파크아파트 앞,202501,478,518
구로구,1988. 고척LIGA아파트 앞,202501,1168,1158
구로구,1991. 오류동역 맞은편,202501,736,796
구로구,1992. 구로구배드민턴실내체육관 앞,202501,168,180
구로구,1993. 금강수목원아파트 앞,202501,405,397
구로구,1994. 삼성전자 물류센터 앞,202501,976,987
종로구,337. 창경궁 입구,202501,310,299
구로구,1996. 구일역 1번 출입구 앞,202501,746,729
금천구,1853. 서울디자인직업전문학교 앞,202501,287,249
금천구,1854. 가산아네스트 오피스텔 앞,202501,518,170
금천구,1855. 성지아파트 옆 도로변,202501,77,85
금천구,1856. 모두의학교,202501,332,264
금천구,1857. 주공14단지,202501,186,166
영등포구,280. 양평동6차현대아파트 앞,202501,2063,2033
종로구,338. 세운스퀘어 앞,202501,334,337
영등포구,281. 대림신동아아파트 앞,202501,603,568
영등포구,282. 신한은행 대림동지점,202501,395,457
동작구,2066. 양문교회 앞,202501,850,862
동작구,2067. 보라매역?동작세무서 버스정류장(강남중학교방면),202501,655,720
동작구,2068. 총신대 앞(육교),202501,49,13
동작구,2070. 노량진역 2번 출구 앞,202501,472,488
관악구,2177. 신대방역 2번 출구,202501,2272,2539
관악구,2178. 서울대학교 정문,202501,182,97
관악구,2179. 양녕로 입구,202501,453,471
종로구,339. 종로4가 사거리,202501,617,591
서초구,2501. 서초 포레스타5단지,202501,203,191
서초구,2502. 서초역1번출구 앞,202501,182,173
서초구,2503. 반포1동 서초빌딩 앞,202501,675,710
서초구,2504. 신사역 4번출구 뒤,202501,550,365
서초구,2505. 우성아파트사거리 (기업은행앞),202501,735,741
서초구,2506. LG유플러스 (방배사옥),202501,48,27
강남구,2389. 경기여자고등학교 후문 (삼성로3길 입구),202501,406,342
종로구,340. 혜화동 로터리,202501,623,654
강남구,2390. 구룡마을 입구 (래미안블레스티지 아파트),202501,257,257
강남구,2391. 구룡터널 입구(개포1단지아파트),202501,13,1
강남구,2392. 구룡산 입구 (구룡산 서울둘레길 입구),202501,75,30
강남구,2394. 개포래미안포레스트아파트 107동 앞,202501,440,267
강남구,2396. 영동3교 북단(우성캐릭터 앞 보도),202501,205,172
강남구,2398. 더라움,202501,189,106
종로구,341. 혜화역 3번출구 뒤,202501,593,614
강남구,2401. 밀알학교 입구 (삼성서울병원 입구),202501,133,76
강남구,2403. 공무원연금매점 교차로 (개포주공9단지 입구),202501,453,378
강남구,2404. 대모산입구역 4번 출구 앞,202501,745,750
강남구,2405. 청담공원앞 교차로,202501,512,176
강남구,2406. 논현동 광명빌딩 앞,202501,166,145
강남구,2407. 역삼서초삼성 세무서 앞 (역삼빌딩 앞),202501,548,559
강남구,2408. 강남한양수자인아파트,202501,594,579
송파구,1290. 위례송파꿈에그린아파트24단지 앞 성벽 다리 밑,202501,424,415
종로구,342. 대학로 마로니에공원,202501,878,853
송파구,1291. 서울체육고등학교 앞,202501,542,690
송파구,1293. 석촌호수 서호 사거리,202501,1385,1397
송파구,1295. 잠실역 8번출구,202501,1574,1574
송파구,1296. 석촌호수교차로 (송파나루근린공원 앞),202501,291,286
송파구,1297. 석촌호수교차로(동호 팔각정 앞),202501,1446,1447
송파구,1299. 송파소방서 (방이119안전센터),202501,357,317
송파구,1300. 오륜사거리,202501,292,281
종로구,343. 힐스테이트창경궁 아파트 앞,202501,599,596
송파구,2601. 석촌호수 아뜰리에,202501,1038,1037
송파구,2603. 송파 글마루 도서관,202501,435,403
강동구,1053. 동명근린공원 진입로 (아리수로),202501,185,188
강동구,1054. 말우물 어린이 공원,202501,154,196
강동구,1056. 강일리버파크 7~11단지,202501,173,180
강동구,1057. 능골근린공원,202501,321,351
성동구,3525. 금호스포츠센터앞,202501,207,266
종로구,344. 성균관대 E하우스 앞,202501,371,347
성동구,3527. 왕십리 자이아파트(101동 앞),202501,4,4
광진구,3528. 광진정보도서관,202501,659,804
광진구,3529. 어린이대공원정문,202501,329,270
종로구,452. 동대문 종합시장 버스정류장,202501,437,464
종로구,453. 종로오가 지하쇼핑센터 14번출구,202501,677,692
종로구,454. 종로2가 버스정류장 (종각방향),202501,563,575
